food_code,food_name,servings_unit,veg_nonveg_flag,Region,Meal_Type,is_processed_flag,is_spicy_flag,contains_dairy_flag,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,calcium_mg,iron_mg,magnesium_mg,sodium_mg,potassium_mg,zinc_mg,vita_mcg,folate_mcg,vitc_mg,carb_to_fibre_ratio,protein_to_carb_ratio,unsat_to_sat_fat_ratio
ASC042,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),toasted triangle,0,General,Evening Snacks,0,0,1,221.79,21.38,11.02,10.64,5.68,1.88,4035.31,2570.26,2749.53,243.61,1.12,24.72,238.98,113.62,1.45,0.0,52.13,4.85,11.372340425531915,0.5154349859681946,1.3183101174383136
ASC043,Chicken sandwich (toasted),toasted triangle,1,General,Evening Snacks,0,0,0,143.1,16.09,10.33,4.54,1.82,1.4,976.22,620.66,182.19,85.49,0.85,17.67,280.05,174.04,0.63,15.59,20.71,12.97,11.492857142857144,0.6420136730888751,0.8224068345250045
ASC044,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),toasted triangle,0,General,Dessert,0,0,0,145.39,17.14,9.36,4.75,1.64,2.08,1881.01,1624.2,232.69,59.91,1.28,22.17,245.52,198.36,1.43,1.5,18.29,5.5,8.240384615384615,0.5460910151691948,0.9871771016634681
ASC045,Classic club sandwich,triangle,0,General,Dessert,0,0,0,448.86,41.33,15.06,25.84,4.15,3.63,10353.71,8945.36,3343.8,240.77,2.44,44.74,620.2,374.52,1.62,217.16,56.9,16.19,11.385674931129476,0.36438422453423663,1.1869329931010237
ASC046,Sesame toast,toasted triangle,0,General,Dessert,0,0,0,309.18,6.96,1.19,30.83,0.91,0.82,3700.44,6348.79,19348.64,27.13,0.45,9.58,80.4,108.01,0.18,0.0,8.87,6.92,8.487804878048781,0.17097701149425287,6.944425527775075
ASC047,Cracked wheat porridge (Meetha daliya),bowl,0,General,Lunch,0,0,0,328.71,35.75,10.65,16.44,20.63,2.5,7367.5,4060.0,3510.0,305.8,1.3,20.86,64.05,287.9,0.83,0.0,17.58,5.03,14.3,0.29790209790209793,1.027485578554462
ASC048,Semolina porridge (Suji/Rava daliya),bowl,0,General,Lunch,0,0,0,280.49,34.44,10.43,11.35,20.95,1.94,6785.27,3048.47,410.0,301.68,0.99,28.44,64.51,344.7,1.26,0.0,22.71,5.03,17.75257731958763,0.30284552845528456,0.5097026352672774
ASC050,Oatmeal Porridge,bowl,0,General,Evening Snacks,0,0,0,289.96,34.89,10.33,12.82,20.68,1.56,7023.5,3657.0,983.0,305.8,1.12,43.66,64.25,362.3,1.29,0.0,23.98,5.03,22.365384615384617,0.29607337345944396,0.6606392824090553
ASC051,Cornflakes with milk,bowl,0,General,Dessert,0,0,1,326.17,41.56,9.98,14.23,27.73,2.16,7741.8,4254.6,1030.2,296.0,1.18,41.63,73.8,369.4,1.28,0.0,43.87,4.82,19.24074074074074,0.2401347449470645,0.6826319460590561
ASC052,Rice flakes (Chiwda/Aval),bowl,0,General,Lunch,0,0,0,312.58,43.28,10.06,11.09,20.24,1.04,6582.0,3041.1,504.3,286.76,1.71,43.41,62.28,320.8,1.25,0.0,19.41,4.82,41.61538461538461,0.23243992606284658,0.5386508659981769
ASC053,Wheat flakes,bowl,0,General,Evening Snacks,0,0,0,312.58,43.28,10.06,11.09,20.24,1.04,6582.0,3041.1,504.3,286.76,1.71,43.41,62.28,320.8,1.25,0.0,19.41,4.82,41.61538461538461,0.23243992606284658,0.5386508659981769
ASC054,Murmura (Puffed rice),bowl,0,General,Lunch,0,0,0,315.02,43.56,10.06,11.24,20.33,0.77,6510.85,2925.53,344.64,288.53,1.74,39.41,62.61,318.4,1.24,0.0,16.87,4.82,56.57142857142858,0.23094582185491278,0.5022646812628151
ASC055,Puffed wheat (Murmure/Moori),bowl,0,General,Dessert,0,0,0,315.02,43.56,10.06,11.24,20.33,0.77,6510.85,2925.53,344.64,288.53,1.74,39.41,62.61,318.4,1.24,0.0,16.87,4.82,56.57142857142858,0.23094582185491278,0.5022646812628151
ASC056,Boiled egg (Ubla anda),egg,1,General,Evening Snacks,0,0,0,68.49,0.18,6.69,4.59,0.0,0.17,1482.27,1742.81,581.38,26.8,0.97,7.37,258.12,76.88,0.62,99.0,24.77,0.0,1.0588235294117645,37.16666666666667,1.5679936853609666
ASC057,Fried Egg ,egg,1,General,Evening Snacks,0,0,0,129.17,0.18,6.69,11.33,0.0,0.17,2292.27,3126.56,4854.13,26.8,0.98,7.37,258.12,76.88,0.62,99.0,24.77,0.0,1.0588235294117645,37.16666666666667,3.481566307633918
ASC058,Poached egg,egg,1,General,Dessert,0,0,0,69.37,0.21,6.71,4.59,0.03,0.17,1482.27,1742.81,581.38,27.01,0.98,8.28,651.32,79.13,0.63,99.0,24.77,0.0,1.2352941176470587,31.952380952380953,1.5679936853609666
ASC059,Scrambled egg (Ande ki bhurji),egg,1,General,Evening Snacks,0,0,0,109.18,0.95,7.2,8.55,0.76,0.17,3971.92,2761.31,715.28,45.22,0.99,8.69,262.26,95.21,0.68,137.32,25.82,0.3,5.588235294117647,7.578947368421053,0.8752920501923503
ASC060,Baked egg ,egg,1,General,Dessert,0,0,0,221.04,15.57,12.0,12.78,1.68,1.04,6234.77,3739.31,847.38,165.69,1.5,18.11,528.52,145.13,1.23,187.4,35.72,0.0,14.971153846153847,0.7707129094412332,0.735663063753755
