food_code,food_name,servings_unit,veg_nonveg_flag,Region,Meal_Type,is_processed_flag,is_spicy_flag,contains_dairy_flag,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,calcium_mg,iron_mg,magnesium_mg,sodium_mg,potassium_mg,zinc_mg,vita_mcg,folate_mcg,vitc_mg,carb_to_fibre_ratio,protein_to_carb_ratio,unsat_to_sat_fat_ratio
ASC248,Fried fish and Chips (English Style) (Tali hui machli aur chips),fillet,1,General,Dessert,0,0,0,4547.58,19.33,23.45,486.29,1.18,1.99,60711.73,99920.56,305087.28,45.79,1.83,56.18,507.49,633.03,1.03,55.06,31.65,22.16,9.71356783919598,1.2131401965856183,6.670998174487862
ASC249,Tomato fish,bowl,1,General,Dessert,0,0,0,4740.81,30.75,23.18,502.43,13.07,6.93,64183.46,103178.28,313915.28,62.53,2.3,93.29,885.34,1118.36,1.31,68.63,76.88,75.09,4.437229437229437,0.7538211382113821,6.4984586371629085
ASC250,Baked fish with cheese sauce,bowl,1,General,Dessert,0,0,1,403.14,14.38,30.55,24.84,11.38,0.27,14812.87,6320.81,1608.04,409.08,0.92,59.57,741.02,560.74,1.9,155.29,29.36,9.97,53.25925925925926,2.1244784422809455,0.5352676422597377
ASC251,Fish tikka,piece,1,General,Dessert,0,0,0,41.65,1.39,5.68,1.47,0.42,0.42,286.55,284.09,788.57,11.35,0.5,12.6,178.72,105.23,0.22,4.09,4.62,0.9,3.3095238095238093,4.086330935251799,3.7433606700401327
ASC252,Tandoori fish,piece,1,General,Evening Snacks,0,0,0,224.23,5.55,26.15,10.85,3.75,1.36,4296.31,2225.24,3430.14,87.08,1.08,57.94,289.56,528.84,1.0,44.89,27.55,19.66,4.080882352941176,4.711711711711712,1.3163342496235138
ASC253,"Paneer, apple and pineapple salad",bowl,0,General,Dessert,0,0,1,245.07,21.52,10.01,13.06,16.4,4.25,6584.81,3287.12,2307.81,265.61,2.17,58.59,455.27,476.98,1.58,80.53,67.13,25.3,5.063529411764706,0.46514869888475835,0.8496722001090389
ASC254,Russian salad,bowl,0,General,Evening Snacks,0,0,0,363.43,20.57,13.49,24.8,5.25,8.13,4716.82,12803.21,5464.89,110.53,3.88,77.6,319.96,805.63,1.8,160.2,104.32,49.56,2.5301353013530132,0.6558094312105007,3.872969500638142
ASC255,Pasta salad,bowl,0,General,Evening Snacks,0,0,0,410.7,27.39,8.96,30.03,5.6,2.06,5783.73,15792.74,6686.06,144.0,1.76,43.5,328.61,349.86,1.23,72.25,56.54,38.78,13.29611650485437,0.32712668857247174,3.8865576366808274
ASC256,Deviled egg,egg,1,General,Dessert,0,0,0,157.45,3.56,7.93,12.33,1.32,1.84,2127.38,6324.12,2734.79,58.85,2.41,34.03,187.37,296.19,0.93,106.8,48.39,18.42,1.934782608695652,2.2275280898876404,4.2582472336865065
ASC257,Hawain salad,bowl,0,General,Dessert,0,0,0,682.64,55.91,16.63,44.28,20.42,15.32,24740.94,10116.53,1827.83,237.74,4.36,108.08,252.89,797.2,2.51,87.3,123.62,51.75,3.6494778067885116,0.2974423180110892,0.4827771297291049
ASC258,Mixed pulse and vegetable salad,bowl,0,General,Evening Snacks,0,0,0,141.23,23.72,8.05,1.42,2.31,5.03,232.99,204.85,751.66,87.73,3.61,84.95,217.12,752.15,1.33,0.0,105.59,23.82,4.715705765407554,0.33937605396290055,4.105369329155757
ASC259,Sprouted moong salad ,bowl,0,General,Evening Snacks,0,0,0,77.03,11.17,4.66,1.51,4.35,1.93,722.68,327.12,336.93,111.16,2.96,46.69,237.12,517.88,0.8,8.4,49.76,27.84,5.787564766839378,0.41718889883616833,0.9188714230364753
ASC260,Tossed salad,bowl,0,General,Dessert,0,0,0,214.69,16.88,3.49,14.39,5.31,7.33,2150.54,10028.12,1534.14,110.39,2.93,60.57,264.28,794.47,0.79,0.0,99.67,85.7,2.302864938608458,0.20675355450236968,5.376444985910516
ASC261,Mixed vegetable salad with curd sauce,bowl,0,General,Evening Snacks,0,0,1,129.86,15.15,9.11,3.23,4.65,8.16,1896.6,786.2,345.85,141.13,2.9,70.95,251.3,575.69,1.45,37.5,86.34,37.73,1.8566176470588236,0.6013201320132012,0.596883897500791
ASC262,Potato salad (Aloo ka salaad),bowl,0,General,Evening Snacks,0,0,0,212.18,26.41,3.3,10.38,9.3,3.12,1351.77,3875.33,4461.72,60.45,2.35,50.3,295.03,819.98,0.7,0.0,52.72,58.78,8.46474358974359,0.12495266944339264,6.167506306546231
ASC263,Waldroff salad,bowl,0,General,Evening Snacks,0,0,0,349.42,27.16,3.63,24.78,20.29,4.6,5426.89,9821.5,8146.32,72.21,2.63,47.41,33.08,475.41,0.73,71.55,40.62,21.43,5.904347826086957,0.13365243004418262,3.3108870826569174
ASC264,Coleslaw,bowl,0,General,Dessert,0,0,0,116.99,8.53,1.89,8.11,5.53,3.57,1770.17,3982.92,1856.32,56.43,0.96,20.03,45.55,316.75,0.34,34.95,41.98,22.99,2.3893557422969187,0.22157092614302462,3.29868882649689
ASC265,Fruit salad (Phalon ka salaad),bowl,0,General,Dessert,0,0,0,237.53,48.52,2.78,3.7,29.74,4.79,2081.01,826.41,502.02,78.83,2.45,53.38,21.6,541.95,0.54,43.65,45.4,52.45,10.129436325678498,0.057295960428689195,0.6383582971730072
ASC269,Tomato onion raita (Tamatar aur pyaaz ka raita),bowl,0,General,Evening Snacks,0,0,0,104.83,12.58,6.64,3.27,10.62,1.73,1960.2,845.49,222.75,214.3,0.45,32.38,293.52,422.38,0.89,28.0,34.77,15.04,7.271676300578035,0.5278219395866455,0.544964799510254
ASC270,Peanut raita (Mungfali ka raita),bowl,0,General,Dessert,0,0,0,184.48,11.41,10.54,11.02,8.72,2.32,3548.65,4486.91,2454.5,214.18,0.9,60.75,289.3,431.53,1.36,28.0,36.67,2.59,4.918103448275862,0.9237510955302366,1.9560706184041818
ASC271,Sprouted moong raita ,bowl,0,General,Dessert,0,0,0,92.97,9.35,7.06,3.34,8.53,0.24,1969.85,869.51,237.7,212.88,1.32,28.35,288.85,318.73,0.88,28.0,27.0,3.59,38.958333333333336,0.7550802139037432,0.5620783308373735
ASC272,Bottle gourd raita (Ghiya/Lauki ka raita),bowl,0,General,Dessert,0,0,0,85.96,8.79,6.07,3.15,8.01,1.3,1940.57,821.28,170.17,211.09,0.35,26.82,287.58,357.73,0.8,28.0,39.49,4.76,6.761538461538461,0.6905574516496019,0.5109065893010816
ASC273,Cucumber raita (Kheere ka raita),bowl,0,General,Dessert,0,0,0,90.27,9.69,6.16,3.17,7.97,1.31,1951.94,824.8,171.67,211.57,0.45,31.54,290.02,387.23,0.81,28.0,26.92,5.65,7.3969465648854955,0.6357069143446853,0.5105023719991393
ASC274,Carrot and spinach raita (Gajar aur palak ka raita),bowl,0,General,Evening Snacks,0,0,0,100.96,10.37,7.12,3.53,8.76,2.48,2033.28,846.18,351.7,253.3,1.84,69.02,321.21,676.48,1.02,28.0,95.51,19.29,4.181451612903225,0.686595949855352,0.5891367642429964
ASC275,Mint raita (Pudinay ka raita),bowl,0,General,Dessert,0,0,0,81.21,8.0,5.9,3.1,7.83,0.36,1922.35,819.77,144.74,207.48,0.39,23.55,287.19,306.51,0.74,28.0,20.62,2.94,22.22222222222222,0.7375,0.5017348557754832
ASC276,Potato raita (Aloo ka raita),bowl,0,General,Dessert,0,0,0,118.85,16.14,6.65,3.22,8.01,1.18,1943.81,827.11,208.65,208.61,0.53,34.59,289.11,593.28,0.88,28.0,27.03,15.33,13.677966101694917,0.4120198265179678,0.5328504329126819
ASC277,Boondi raita,bowl,0,General,Dessert,0,0,0,2261.74,13.03,7.21,242.8,6.18,1.51,30322.6,49955.75,152395.83,161.16,0.78,24.33,326.19,262.15,0.75,21.0,37.83,0.77,8.629139072847682,0.5533384497313891,6.6732925276856205
ASC278,Sweet raita (Meetha raita),bowl,0,General,Evening Snacks,0,0,0,190.55,34.43,6.22,3.42,29.49,1.96,2020.0,819.88,280.6,209.11,0.41,32.11,82.53,447.92,0.8,28.0,24.9,5.2,17.566326530612244,0.18065640429857682,0.5447920792079208
ASC279,Dahi vadas/Dahi bhalla,vada,0,South,Evening Snacks,0,0,1,1150.16,9.45,5.1,121.27,3.06,1.66,15158.63,24934.88,76112.02,84.46,0.84,30.73,136.08,262.46,0.66,10.5,18.3,0.57,5.692771084337349,0.5396825396825397,6.665965196063233
ASC280,Gunjia,gunjia,0,General,Evening Snacks,0,0,0,1166.18,9.92,5.21,122.81,3.58,1.98,16206.71,25026.06,76130.41,84.16,0.87,31.16,136.13,269.39,0.67,10.5,19.06,0.51,5.01010101010101,0.5252016129032258,6.241641270806968
ASC281,Saunth/Sonth chutney with tamarind/imli,teaspoon,0,General,Evening Snacks,0,0,0,25.05,5.94,0.18,0.03,5.54,0.17,5.68,7.75,8.26,9.69,0.48,8.19,43.25,47.31,0.04,0.0,0.99,0.09,34.94117647058823,0.0303030303030303,2.8186619718309855
ASC282,Rice kheer (Chawal ki kheer),bowl,0,General,Lunch,0,0,0,300.94,40.31,9.21,11.92,32.16,0.69,6834.93,3474.35,518.59,303.13,0.68,29.42,65.13,333.24,1.01,0.0,19.54,5.06,58.42028985507247,0.22847928553708757,0.5841961805022143
ASC283,Makhana kheer,bowl,0,General,Evening Snacks,0,0,0,299.94,35.82,9.21,13.92,32.09,0.32,8004.83,3999.08,646.69,310.49,0.78,37.25,65.08,387.54,0.96,18.44,23.77,5.06,111.9375,0.25711892797319935,0.5803708510986493
ASC285,Vermicelli kheer (Semiya/Seviyan ki kheer),bowl,0,General,Evening Snacks,0,0,0,279.08,36.9,7.8,11.61,29.73,1.15,6636.59,3371.03,532.99,243.58,0.69,24.8,52.34,270.94,0.81,18.44,16.29,4.06,32.08695652173913,0.21138211382113822,0.5882569210995406
ASC286,Semolina kheer (Suji/Rava kheer),bowl,0,General,Dessert,0,0,0,260.87,36.6,7.9,9.69,29.68,1.17,5472.09,2860.88,457.29,244.24,0.77,24.68,52.21,281.64,0.93,0.0,17.54,4.06,31.282051282051285,0.21584699453551912,0.6063807430067853
ASC287,Paneer kheer,bowl,0,General,Dessert,0,0,1,304.78,29.03,13.1,15.55,28.55,0.2,9029.45,4536.14,603.54,418.7,0.76,31.57,68.92,326.33,1.56,0.0,41.81,5.06,145.15,0.45125732001377883,0.5692129642447769
ASC288,Cabbage kheer (Pattagobhi ki kheer),bowl,0,General,Dessert,0,0,0,212.47,24.75,7.3,9.66,23.62,1.3,5481.81,2866.16,461.35,261.4,0.6,27.97,57.67,346.14,0.78,0.0,33.51,17.36,19.038461538461537,0.29494949494949496,0.6070093636955676
ASC289,Carrot kheer (Gajar ki kheer),bowl,0,General,Dessert,0,0,0,217.16,25.67,7.14,9.8,24.51,1.87,5498.28,2862.55,531.19,254.73,0.7,27.47,72.61,362.14,0.81,0.0,24.59,6.54,13.727272727272727,0.2781456953642384,0.6172366631019156
ASC290,Cauliflower kheer (Phoolgobhi ki kheer),bowl,0,General,Evening Snacks,0,0,0,249.49,26.74,9.25,12.03,25.85,1.68,6863.5,3471.08,580.19,309.76,0.92,34.15,76.7,442.04,1.0,0.0,36.87,23.92,15.916666666666666,0.34592370979805537,0.590262985357325
ASC291,Moong dal kheer,bowl,0,General,Lunch,0,0,0,312.82,40.11,11.97,12.06,32.1,1.6,6853.75,3466.52,573.89,306.77,1.14,48.29,66.23,500.94,1.26,0.0,32.3,5.06,25.068749999999998,0.2984293193717278,0.5895181469998176
ASC292,Phirni,bowl,0,General,Evening Snacks,0,0,0,337.0,46.75,10.12,12.61,31.31,1.04,6894.25,3903.39,681.57,303.48,0.66,33.46,65.22,332.32,1.14,0.0,20.33,5.04,44.95192307692307,0.2164705882352941,0.6650411574863111
ASC293,Semolina halwa (Suji ka halwa),bowl,0,General,Dessert,0,0,0,360.18,39.37,3.45,21.36,22.31,2.96,11832.19,6235.31,1368.28,18.79,1.05,20.87,2.04,112.47,0.67,184.4,7.96,0.05,13.300675675675675,0.08763017526035054,0.6426189910743488
ASC294,Shahi suji halwa,bowl,0,General,Dessert,0,0,0,375.84,43.68,3.42,21.36,26.75,2.91,11831.36,6234.7,1366.18,18.32,0.97,20.53,2.15,98.13,0.67,184.4,7.46,0.02,15.010309278350515,0.0782967032967033,0.642435020149839
ASC295,Carrot halwa (Gajar ka halwa),bowl,0,General,Evening Snacks,0,0,0,289.71,31.1,5.22,16.33,28.28,4.45,9078.68,4720.35,1166.26,179.46,1.28,38.57,67.05,419.41,0.91,92.2,44.8,6.53,6.98876404494382,0.1678456591639871,0.648399326774377
ASC296,Egg halwa (Ande ka halwa),bowl,1,General,Evening Snacks,0,0,0,289.25,38.2,7.58,12.94,36.53,0.47,5344.32,3286.96,852.52,34.52,1.39,7.66,80.14,114.86,0.67,154.32,24.67,0.0,81.27659574468086,0.19842931937172772,0.7745569127597149
ASC297,Potato halwa (Aloo ka halwa),bowl,0,General,Dessert,0,0,0,239.69,46.11,2.41,5.51,27.53,2.59,2491.94,1901.4,642.04,22.36,1.0,39.74,6.68,713.91,0.47,36.88,20.72,28.98,17.803088803088805,0.05226631967035351,1.0206666292125814
ASC298,Pumpkin halwa (Kaddu ka halwa),bowl,0,General,Dessert,0,0,0,295.0,42.8,2.06,13.66,41.3,4.61,7964.27,2791.15,727.62,37.74,0.98,30.01,12.54,365.06,0.39,55.32,27.9,8.08,9.284164859002168,0.04813084112149533,0.4418195264600522
ASC299,Moong dal halwa,bowl,0,General,Lunch,0,0,0,333.68,38.37,7.97,16.86,24.41,2.53,9905.66,4496.73,927.87,105.31,1.44,44.62,10.67,369.03,1.0,124.47,34.53,0.03,15.16600790513834,0.2077143601772218,0.5476263065762402
ASC300,Caramel custard (steamed),bowl,0,General,Breakfast,0,0,0,282.06,34.84,11.53,11.3,34.76,0.0,5539.6,3561.6,783.04,204.43,1.19,19.07,101.08,244.28,1.14,99.0,35.21,3.02,34840.0,0.33094144661308833,0.7842876742003031
ASC301,Baked custard,bowl,0,General,Dessert,0,0,0,226.9,20.14,11.53,11.3,20.06,0.0,5539.6,3561.6,783.04,203.03,1.16,18.78,100.38,243.58,1.12,99.0,35.21,3.02,20140.0,0.5724925521350546,0.7842876742003031
ASC302,Soft Custard (stirred),bowl,0,General,Dessert,0,0,0,272.41,27.92,12.51,12.64,27.83,0.0,6351.7,3925.8,824.44,239.08,1.22,21.77,304.82,278.83,1.23,99.0,37.31,3.62,27920.0,0.4480659025787965,0.7478690744210211
ASC304,Chocolate ice cream,ice-cream cup,0,General,Dessert,0,0,0,659.28,57.17,16.58,41.72,56.87,0.0,24656.4,12027.7,1806.74,312.53,1.76,50.57,136.48,437.98,1.81,466.5,43.75,4.06,57170.0,0.29001224418401256,0.5610892101036647
ASC305,Mango ice cream,ice-cream cup,0,General,Evening Snacks,0,0,0,573.13,50.78,15.52,34.74,50.2,2.35,20262.85,9763.1,1701.04,306.29,1.8,43.76,132.84,525.73,1.58,462.75,142.26,44.98,21.608510638297872,0.30563213863725874,0.5657713500322018
ASC307,Fruit Ice cream (Phalon ka Ice cream),ice-cream cup,0,General,Evening Snacks,0,0,0,550.82,51.56,14.05,33.35,45.07,1.07,17285.7,6898.1,847.7,299.88,1.17,21.63,124.59,385.44,0.85,291.0,15.6,4.02,48.18691588785047,0.27249806051202485,0.4481045025657046
ASC308,Caramel ice cream,ice-cream cup,0,General,Dessert,0,0,0,471.03,40.19,11.71,30.27,39.42,0.23,17422.7,8946.87,1488.09,237.03,0.95,32.51,90.84,285.47,1.18,339.6,25.96,3.27,174.7391304347826,0.2913660114456333,0.5989289834526221
ASC309,Lemon souffle,souffle cup,0,General,Evening Snacks,0,0,0,399.36,31.83,16.47,23.75,27.67,0.0,13664.05,6810.55,1241.02,141.75,1.34,17.54,120.22,209.6,0.99,390.0,32.11,12.9,31829.999999999996,0.5174363807728558,0.5892520885096293
ASC310,Orange souffle,souffle cup,0,General,Dessert,0,0,0,410.61,34.65,16.59,23.73,30.03,0.55,13644.77,6818.69,1226.24,144.05,1.58,20.08,120.1,247.06,0.98,390.0,37.93,19.16,62.99999999999999,0.4787878787878788,0.5895980657790494
ASC311,Vanilla souffle,souffle cup,0,General,Dessert,0,0,0,408.58,32.15,16.78,24.35,27.97,0.0,14035.15,6992.7,1226.74,153.56,1.26,16.74,123.39,196.1,1.01,390.0,30.71,1.3,32149.999999999996,0.5219284603421462,0.5856325012557757
ASC312,Chocolate souffle,souffle cup,0,General,Evening Snacks,0,0,0,416.5,32.43,17.33,25.0,27.91,0.0,14419.1,7208.65,1244.72,157.4,1.57,32.28,123.34,240.35,1.22,390.0,31.85,1.3,32430.0,0.5343817452975639,0.5862619719677371
ASC313,Pineapple souffle ,souffle cup,0,General,Dessert,0,0,0,396.21,31.34,16.29,23.68,27.18,0.0,13629.05,6810.55,1206.02,135.8,1.23,15.44,119.53,178.1,0.96,390.0,29.66,1.0,31340.0,0.5197830248883216,0.5881972698023706
ASC314,Apple mousse,bowl,0,General,Evening Snacks,0,0,0,390.28,46.59,15.36,15.6,38.54,5.83,7918.0,4390.54,1543.0,123.22,1.74,30.68,105.07,399.02,1.01,244.5,35.22,14.48,7.991423670668954,0.32968448164842235,0.7493735791866633
ASC315,Rich chocolate mousse,cup,0,General,Evening Snacks,0,0,0,396.29,22.81,16.75,25.65,21.68,0.0,14735.7,7544.0,1248.24,114.92,2.04,56.11,108.84,271.07,1.43,352.12,31.64,0.7,22810.0,0.7343270495396756,0.5966625270601328
ASC316,Mango mousse,cup,0,General,Dessert,0,0,0,348.68,25.5,8.95,23.62,24.81,2.47,14795.0,6251.76,928.04,143.35,0.97,29.24,54.75,317.25,0.55,349.2,110.68,42.76,10.323886639676113,0.3509803921568627,0.48528556944913825
ASC317,Orange and pineapple cream,bowl,0,General,Evening Snacks,0,0,0,90.18,10.66,1.28,4.84,10.13,0.92,3056.33,1278.0,179.0,31.19,0.36,7.54,9.06,102.48,0.11,72.75,10.56,19.89,11.58695652173913,0.1200750469043152,0.47671553791638993
ASC318,Charlotte rousse,bowl,0,General,Evening Snacks,0,0,0,476.36,86.22,10.01,12.1,51.8,2.55,6875.44,3438.68,703.89,88.42,1.34,24.41,142.81,233.42,0.67,195.0,28.72,25.28,33.811764705882354,0.11609835305033635,0.602517075270819
ASC319,Triffle pudding,bowl,0,General,Dessert,0,0,0,341.84,53.3,8.57,11.5,40.59,0.34,6430.87,3311.88,634.65,142.38,1.38,24.45,78.75,291.95,0.92,136.8,28.71,19.31,156.76470588235293,0.1607879924953096,0.6136852400997066
ASC320,Snow flakes pudding,bowl,0,General,Dessert,0,0,0,302.78,25.67,14.87,15.8,25.49,0.11,8252.85,4780.39,930.39,322.22,1.33,27.78,125.92,366.83,1.46,99.0,42.48,5.47,233.36363636363637,0.5792754187767821,0.6919767110755679
ASC321,Kulfi,kulfi,0,General,Evening Snacks,0,0,0,265.87,30.53,8.67,12.69,28.06,0.33,6882.92,3964.25,693.66,302.15,0.53,28.71,64.74,308.05,0.94,0.0,18.69,5.04,92.51515151515152,0.2839829675728791,0.6767345835779001
ASC322,Steamed orange pudding,large slice,0,General,Breakfast,0,0,0,298.77,44.62,2.52,12.93,28.51,0.63,8104.88,3264.18,514.96,22.73,0.59,12.06,85.01,116.87,0.25,149.15,15.92,21.74,70.82539682539682,0.05647691618108472,0.4662795747747036
ASC323,Meringue and rice pudding,bowl,0,General,Lunch,0,0,0,252.96,32.71,10.83,9.07,24.36,0.37,4815.0,2699.92,516.6,191.37,0.82,20.04,98.92,248.36,0.93,49.5,24.69,3.02,88.4054054054054,0.3310914093549373,0.6680207684319834
ASC324,Cheese pudding,large slice,0,General,Evening Snacks,0,0,1,343.59,23.23,13.61,22.15,22.46,0.06,12724.4,6457.81,1026.24,272.57,1.05,22.94,45.6,98.49,1.84,178.83,60.43,0.3,387.1666666666667,0.5858803271631511,0.5881652573009337
ASC325,Chocolate pudding,large slice,0,General,Dessert,0,0,0,351.2,49.03,5.88,15.7,34.27,0.87,9130.65,4031.05,617.02,106.97,1.0,19.95,283.92,131.26,0.65,163.66,18.08,0.75,56.35632183908046,0.11992657556598,0.5090623340068888
ASC326,Bread and butter pudding ,plate,0,General,Dessert,0,0,0,206.85,24.17,6.88,9.7,14.59,1.2,4189.03,3370.24,827.88,129.99,1.11,24.47,118.61,191.44,0.7,64.93,21.41,1.58,20.14166666666667,0.28465039304923456,1.0021699534259723
ASC327,Queen of pudding,large slice,0,General,Evening Snacks,0,0,0,432.99,53.26,17.94,17.52,38.34,0.87,9070.58,4972.92,989.03,254.94,1.73,30.1,278.81,350.42,1.37,163.67,46.64,8.11,61.218390804597696,0.33683815245963206,0.657284319194583
ASC328,Pineapple upside down pudding,large slice,0,General,Dessert,0,0,0,344.4,47.75,4.21,15.92,29.62,1.07,9615.64,4155.95,723.94,34.81,0.91,13.72,99.57,108.31,0.46,192.4,15.44,9.66,44.626168224299064,0.0881675392670157,0.5074950809306504
ASC329,Date and nut pie,bowl,0,General,Evening Snacks,0,0,0,728.66,105.91,8.88,30.09,70.47,9.34,11622.6,6509.58,9903.1,78.4,3.49,91.78,8.75,658.01,1.68,191.6,32.22,6.39,11.339400428265524,0.08384477386460203,1.4121349784041437
ASC330,Stewed apple with custard,piece,0,General,Evening Snacks,0,0,0,263.29,52.05,3.6,5.16,43.83,2.86,2867.75,1271.38,435.35,139.59,0.51,17.33,47.24,234.71,0.48,0.0,10.2,5.6,18.1993006993007,0.069164265129683,0.5951460203992677
ASC331,Apple snowballs,piece,0,General,Evening Snacks,0,0,0,263.42,63.79,2.23,0.81,50.35,3.24,192.5,63.91,352.5,24.46,0.46,12.8,33.21,181.84,0.15,0.0,4.64,4.46,19.68827160493827,0.03495845743846998,2.163168831168831
ASC332,Hot orange souffle,bowl,0,General,Evening Snacks,0,0,0,219.56,22.9,8.38,10.92,18.21,0.36,5427.98,3365.23,814.92,65.65,1.26,12.11,71.73,140.25,0.79,156.48,30.66,7.01,63.61111111111111,0.365938864628821,0.7701115332038806
ASC333,Hot chocolate souffle,bowl,0,General,Dessert,0,0,0,321.05,37.22,9.51,15.77,32.49,0.17,8348.46,4894.44,978.48,85.47,1.53,25.04,76.83,178.45,1.04,158.73,30.6,0.9,218.9411764705882,0.2555077915099409,0.7034734549845122
ASC334,Hot vanilla souffle,bowl,0,General,Dessert,0,0,0,245.99,27.76,8.76,11.57,23.17,0.17,5828.51,3544.49,828.5,80.58,1.18,11.75,75.97,134.19,0.84,156.48,28.8,0.9,163.2941176470588,0.31556195965417866,0.7502757994753375
ASC335,Plain burfi (Burfi),burfi,0,General,Evening Snacks,0,0,0,177.85,13.45,4.28,12.18,13.25,0.07,7269.21,3393.86,582.09,154.96,0.65,16.6,13.79,141.72,0.62,62.24,23.94,0.05,192.1428571428571,0.31821561338289966,0.5469576473922201
ASC336,Coconut burfi (Nariyal ki burfi),burfi,0,General,Evening Snacks,0,0,0,265.38,18.25,5.0,19.65,17.88,1.99,12569.6,3614.5,621.42,154.82,1.03,26.78,15.68,227.75,0.77,62.24,26.6,0.0,9.170854271356784,0.273972602739726,0.336997199592668
ASC337,Bottle gourd burfi (Ghiya/Lauki burfi),burfi,0,General,Evening Snacks,0,0,0,199.03,17.68,4.23,12.75,17.25,0.53,7771.91,3408.64,567.14,155.68,0.67,17.61,13.09,165.63,0.63,71.46,34.06,1.08,33.35849056603773,0.2392533936651584,0.5115576479912917
ASC338,Chocolate burfi,burfi,0,General,Dessert,0,0,0,110.28,10.78,4.22,5.81,10.52,0.0,3622.1,1598.5,224.8,151.6,0.69,18.53,12.78,145.94,0.64,4.61,23.85,0.0,10780.0,0.3914656771799629,0.5033820159575937
ASC339,Cashewnut burfi (Kaju burfi/Kaju katli),burfi,0,General,Dessert,0,0,0,120.9,10.87,1.57,8.16,9.01,0.32,3280.23,3482.08,828.7,3.71,0.51,25.75,1.21,53.33,0.45,41.49,2.1,0.0,33.96875,0.14443422263109476,1.3141700429543048
ASC340,Gram flour burfi (Besan burfi),burfi,0,General,Dessert,0,0,0,161.6,17.85,4.29,8.58,10.9,1.31,4860.57,2229.77,705.22,61.57,0.56,13.67,4.99,86.83,0.41,57.63,32.38,0.0,13.625954198473282,0.2403361344537815,0.603836587066949
ASC341,Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),ladoo,0,General,Evening Snacks,0,0,0,126.12,15.55,1.97,6.43,9.79,1.38,3984.05,1274.46,265.66,31.31,0.51,9.5,4.24,76.29,0.34,30.73,7.1,0.03,11.268115942028986,0.12668810289389068,0.3865714536715152
ASC342,Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),ladoo,0,General,Dessert,0,0,0,168.94,18.52,2.06,9.83,9.94,2.43,6235.91,1603.13,342.48,9.72,0.67,12.65,3.3,96.34,0.39,46.1,5.21,0.05,7.621399176954732,0.11123110151187905,0.3120009749980356
ASC343,Gram flour ladoo (Besan ladoo),ladoo,0,General,Dessert,0,0,0,168.11,22.07,3.15,8.02,13.31,1.56,4462.79,2057.11,703.28,8.93,0.53,9.43,1.93,50.15,0.26,69.15,24.79,0.0,14.147435897435898,0.1427276846397825,0.618534593830317
ASC344,Sesame ladoo (Til ke ladoo),ladoo,0,General,Evening Snacks,0,0,0,109.16,11.96,2.94,5.4,10.62,2.12,812.4,2018.21,2328.76,173.75,2.46,60.88,5.1,118.5,1.03,0.0,18.17,0.0,5.6415094339622645,0.245819397993311,5.3507754800590845
ASC345,Chenna murki,bowl,0,General,Evening Snacks,0,0,0,227.74,32.46,9.43,7.39,32.03,0.0,4425.5,2150.0,219.5,240.5,0.5,13.81,10.27,58.99,1.39,0.0,46.65,0.0,32460.0,0.2905113986444855,0.5354197265845667
ASC346,Milk cake,slice,0,General,Evening Snacks,1,0,1,365.98,26.22,8.65,25.64,25.56,0.18,14841.45,6504.5,969.35,301.45,0.56,21.48,71.74,313.85,0.85,124.47,18.19,8.0,145.66666666666666,0.3299008390541572,0.5035795020028366
ASC347,Ghujia/Lavang latika,gunjia,0,General,Evening Snacks,0,0,0,818.71,13.85,1.98,84.03,6.48,0.55,12144.21,17264.24,50820.96,33.01,0.47,7.72,3.49,57.78,0.23,18.44,6.86,0.01,25.18181818181818,0.14296028880866427,5.606391852578307
ASC348,Gulab Jamun with khoya,gulab jamun,0,General,Evening Snacks,0,0,0,918.46,40.89,3.18,83.43,37.81,0.12,11782.67,17356.23,50787.11,105.5,0.61,11.77,23.65,98.13,0.46,0.0,16.44,0.02,340.75,0.07776962582538519,5.783353009122719
ASC349,Mal pua,malqura,0,General,Evening Snacks,0,0,0,847.94,26.28,2.55,81.75,17.61,0.92,10533.74,16958.79,50787.08,44.97,0.49,8.64,9.5,71.64,0.34,0.0,5.3,0.67,28.565217391304348,0.09703196347031963,6.43132163884812
ASC350,Shahi tukre,tukra,0,General,Dessert,0,0,0,193.43,42.25,2.82,2.59,35.36,0.52,1178.7,747.64,143.94,77.93,0.38,9.36,72.4,75.47,0.3,0.0,7.61,0.86,81.25,0.06674556213017752,0.7564096038007974
ASC351,Potato pakora/pakoda (Aloo pakoda),plate,0,General,Dessert,0,0,0,4567.65,40.76,12.84,484.55,1.46,6.92,58201.4,99350.13,306669.28,44.43,2.55,52.96,427.53,607.1,1.02,0.0,109.12,18.53,5.890173410404624,0.3150147203140334,6.976110712113455
ASC352,Onion pakora/pakoda (Pyaaz ke pakode),plate,0,General,Dessert,0,0,0,4550.25,36.5,12.81,484.55,5.91,7.51,58215.2,99370.56,306651.69,53.63,2.44,48.07,428.64,311.11,1.07,0.0,119.81,5.36,4.860186418109188,0.3509589041095891,6.974505799172725
